 26.87	3208055	3208055	U	0	unclassified
 73.13	8730649	3791	R	1	root
 72.96	8710105	20824	R1	131567	  cellular organisms
 72.14	8612885	0	D	2759	    Eukaryota
 72.14	8612885	0	D1	33154	      Opisthokonta
 72.14	8612885	0	K	33208	        Metazoa
 72.14	8612885	0	K1	6072	          Eumetazoa
 72.14	8612885	0	K2	33213	            Bilateria
 72.14	8612885	0	K3	33511	              Deuterostomia
 72.14	8612885	0	P	7711	                Chordata
 72.14	8612885	0	P1	89593	                  Craniata
 72.14	8612885	0	P2	7742	                    Vertebrata
 72.14	8612885	0	P3	7776	                      Gnathostomata
 72.14	8612885	0	P4	117570	                        Teleostomi
 72.14	8612885	0	P5	117571	                          Euteleostomi
 72.14	8612885	0	P6	8287	                            Sarcopterygii
 72.14	8612885	0	P7	1338369	                              Dipnotetrapodomorpha
 72.14	8612885	0	P8	32523	                                Tetrapoda
 72.14	8612885	0	P9	32524	                                  Amniota
 72.14	8612885	0	C	40674	                                    Mammalia
 72.14	8612885	0	C1	32525	                                      Theria
 72.14	8612885	0	C2	9347	                                        Eutheria
 72.14	8612885	0	C3	1437010	                                          Boreoeutheria
 72.14	8612885	0	C4	314146	                                            Euarchontoglires
 72.14	8612885	0	O	9443	                                              Primates
 72.14	8612885	0	O1	376913	                                                Haplorrhini
 72.14	8612885	0	O2	314293	                                                  Simiiformes
 72.14	8612885	0	O3	9526	                                                    Catarrhini
 72.14	8612885	0	O4	314295	                                                      Hominoidea
 72.14	8612885	0	F	9604	                                                        Hominidae
 72.14	8612885	0	F1	207598	                                                          Homininae
 72.14	8612885	0	G	9605	                                                            Homo
 72.14	8612885	8612885	S	9606	                                                              Homo sapiens
  0.63	75508	2538	D	2	    Bacteria
  0.30	36267	567	D1	1783272	      Terrabacteria group
  0.17	19894	15	P	201174	        Actinobacteria
  0.16	19454	632	C	1760	          Actinomycetia
  0.05	6205	0	O	85011	            Streptomycetales
  0.05	6205	16	F	2062	              Streptomycetaceae
  0.05	5838	697	G	1883	                Streptomyces
  0.02	1978	181	G1	2593676	                  unclassified Streptomyces
  0.04	4259	65	O	85007	            Corynebacteriales
  0.02	2816	48	F	1762	              Mycobacteriaceae
  0.02	2306	24	G	1763	                Mycobacterium
